src/vigia_eew/notify/alert_window.py:51: warning: __init__ has 20 NLOC, 4 CCN, 121 token, 8 PARAM, 20 length, 0 ND
src/vigia_eew/notify/controller.py:35: warning: __init__ has 28 NLOC, 2 CCN, 158 token, 10 PARAM, 28 length, 0 ND
src/vigia_eew/notify/sound.py:102: warning: __init__ has 14 NLOC, 4 CCN, 88 token, 6 PARAM, 14 length, 0 ND
src/vigia_eew/notify/toast.py:43: warning: __init__ has 16 NLOC, 2 CCN, 89 token, 7 PARAM, 16 length, 0 ND
src/vigia_eew/pipeline/processor.py:35: warning: __init__ has 18 NLOC, 2 CCN, 95 token, 8 PARAM, 18 length, 0 ND
src/vigia_eew/pipeline/filter.py:37: warning: __init__ has 14 NLOC, 1 CCN, 67 token, 6 PARAM, 14 length, 0 ND
src/vigia_eew/ingest/ws_emsc.py:40: warning: __init__ has 20 NLOC, 3 CCN, 130 token, 10 PARAM, 20 length, 0 ND
src/vigia_eew/ingest/rest_funvisis.py:43: warning: __init__ has 15 NLOC, 2 CCN, 95 token, 6 PARAM, 16 length, 0 ND
src/vigia_eew/ingest/rest_geofon.py:55: warning: __init__ has 24 NLOC, 2 CCN, 132 token, 11 PARAM, 24 length, 0 ND
src/vigia_eew/ingest/rest_geofon.py:134: warning: _process_text has 32 NLOC, 13 CCN, 239 token, 2 PARAM, 36 length, 0 ND
src/vigia_eew/ingest/rest_usgs.py:45: warning: __init__ has 24 NLOC, 2 CCN, 132 token, 11 PARAM, 24 length, 0 ND
src/vigia_eew/autostart/macos_launchagent.py:48: warning: __init__ has 14 NLOC, 4 CCN, 87 token, 6 PARAM, 14 length, 0 ND
src/vigia_eew/autostart/linux_systemd.py:60: warning: __init__ has 14 NLOC, 4 CCN, 84 token, 6 PARAM, 14 length, 0 ND
src/vigia_eew/supervisor.py:31: warning: __init__ has 18 NLOC, 2 CCN, 124 token, 8 PARAM, 18 length, 0 ND
src/vigia_eew/backoff.py:18: warning: exponential_backoff has 15 NLOC, 3 CCN, 94 token, 6 PARAM, 32 length, 0 ND
src/vigia_eew/tray.py:72: warning: build_icon has 25 NLOC, 2 CCN, 207 token, 7 PARAM, 36 length, 0 ND
src/vigia_eew/app.py:57: warning: __init__ has 25 NLOC, 4 CCN, 187 token, 8 PARAM, 25 length, 0 ND
src/vigia_eew/app.py:158: warning: _build_controller has 18 NLOC, 1 CCN, 97 token, 6 PARAM, 19 length, 0 ND
